-1.84593e-10 -0.9 -2.48919e-11 -0.121363 2.48919e-11 0.121363
0.0471024 -0.898767 0.00635164 -0.121197 -0.00635164 0.121197
0.0940756 -0.89507 0.0126859 -0.120698 -0.0126859 0.120698
0.140791 -0.88892 0.0189853 -0.119869 -0.0189853 0.119869
0.187121 -0.880333 0.0252328 -0.118711 -0.0252328 0.118711
0.232937 -0.869333 0.031411 -0.117228 -0.031411 0.117228
0.278115 -0.855951 0.0375032 -0.115423 -0.0375032 0.115423
0.322531 -0.840222 0.0434926 -0.113302 -0.0434926 0.113302
0.366063 -0.822191 0.0493627 -0.11087 -0.0493627 0.11087
0.408591 -0.801906 0.0550976 -0.108135 -0.0550976 0.108135
0.45 -0.779423 0.0606814 -0.105103 -0.0606814 0.105103
0.490175 -0.754804 0.066099 -0.101783 -0.066099 0.101783
0.529007 -0.728115 0.0713353 -0.0981846 -0.0713353 0.0981846
0.566388 -0.699431 0.0763761 -0.0943167 -0.0763761 0.0943167
0.602218 -0.66883 0.0812076 -0.0901902 -0.0812076 0.0901902
0.636396 -0.636396 0.0858165 -0.0858165 -0.0858165 0.0858165
0.66883 -0.602218 0.0901902 -0.0812076 -0.0901902 0.0812076
0.699431 -0.566388 0.0943167 -0.0763761 -0.0943167 0.0763761
0.728115 -0.529007 0.0981846 -0.0713353 -0.0981846 0.0713353
0.754804 -0.490175 0.101783 -0.0660989 -0.101783 0.0660989
0.779423 -0.45 0.105103 -0.0606814 -0.105103 0.0606814
0.801906 -0.408591 0.108135 -0.0550976 -0.108135 0.0550976
0.822191 -0.366063 0.11087 -0.0493627 -0.11087 0.0493627
0.840222 -0.322531 0.113302 -0.0434926 -0.113302 0.0434926
0.855951 -0.278115 0.115423 -0.0375032 -0.115423 0.0375032
0.869333 -0.232937 0.117228 -0.031411 -0.117228 0.031411
0.880333 -0.187121 0.118711 -0.0252328 -0.118711 0.0252328
0.88892 -0.140791 0.119869 -0.0189853 -0.119869 0.0189853
0.89507 -0.0940756 0.120698 -0.0126859 -0.120698 0.0126859
0.898767 -0.0471024 0.121197 -0.00635164 -0.121197 0.00635164
0.9 4.46400e-09 0.121363 6.01960e-10 -0.121363 -6.01960e-10
0.898767 0.0471024 0.121197 0.00635164 -0.121197 -0.00635164
0.89507 0.0940756 0.120698 0.0126859 -0.120698 -0.0126859
0.88892 0.140791 0.119869 0.0189853 -0.119869 -0.0189853
0.880333 0.187121 0.118711 0.0252328 -0.118711 -0.0252328
0.869333 0.232937 0.117228 0.031411 -0.117228 -0.031411
0.855951 0.278115 0.115423 0.0375032 -0.115423 -0.0375032
0.840222 0.322531 0.113302 0.0434926 -0.113302 -0.0434926
0.822191 0.366063 0.11087 0.0493627 -0.11087 -0.0493627
0.801906 0.408591 0.108135 0.0550976 -0.108135 -0.0550976
0.779423 0.45 0.105103 0.0606814 -0.105103 -0.0606814
0.754804 0.490175 0.101783 0.066099 -0.101783 -0.066099
0.728115 0.529007 0.0981846 0.0713353 -0.0981846 -0.0713353
0.699431 0.566388 0.0943167 0.0763761 -0.0943167 -0.0763761
0.66883 0.602218 0.0901902 0.0812076 -0.0901902 -0.0812076
0.636396 0.636396 0.0858165 0.0858165 -0.0858165 -0.0858165
0.602218 0.66883 0.0812076 0.0901902 -0.0812076 -0.0901902
0.566388 0.699431 0.0763761 0.0943167 -0.0763761 -0.0943167
0.529007 0.728115 0.0713353 0.0981846 -0.0713353 -0.0981846
0.490175 0.754804 0.0660989 0.101783 -0.0660989 -0.101783
0.45 0.779423 0.0606814 0.105103 -0.0606814 -0.105103
0.408591 0.801906 0.0550976 0.108135 -0.0550976 -0.108135
0.366063 0.822191 0.0493627 0.11087 -0.0493627 -0.11087
0.322531 0.840222 0.0434926 0.113302 -0.0434926 -0.113302
0.278115 0.855951 0.0375032 0.115423 -0.0375032 -0.115423
